model_name,model_version,rmse,mae,weekly_rmse,weekly_mae,interval_coverage,residual_std,mean_prediction_jump,wape,mase,notes,selected_model,promoted,improvement_pct,run_id,trained_at
random_forest,random_forest-2026-08-25T11:48:16.501459,15.344604028139162,11.901299223059413,56.570313608084234,43.066763746655276,0.5555555555555556,14.77100468484567,7.834390304579275,0.09802621102755935,0.4635034605988468,,False,False,0.0,00cccab6-70a6-4022-bb8b-ed77293476bd,2026-08-25T11:53:06.286701
xgboost,xgboost-2026-08-25T11:50:40.926015,15.997767038382323,12.265740310936643,66.65387319406241,48.84026792937634,0.27485380116959063,15.471377829460126,7.946546543411344,0.10102796556862223,0.47769684421600794,,False,False,0.0,00cccab6-70a6-4022-bb8b-ed77293476bd,2026-08-25T11:53:06.286701
lightgbm,lightgbm-failed,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.0,1000000000.0,1000000000.0,0.0,0.0,lightgbm is not installed.,False,False,0.0,00cccab6-70a6-4022-bb8b-ed77293476bd,2026-08-25T11:53:06.286701
ridge,ridge-2026-08-25T11:53:06.218261,15.40522197698741,12.465289544014643,48.92178386745145,41.04267923598236,0.8713450292397661,15.34358902417622,9.064533601604511,0.10267157227621519,0.48546841254295914,,False,False,0.0,00cccab6-70a6-4022-bb8b-ed77293476bd,2026-08-25T11:53:06.286701
ensemble,ensemble-2026-08-25T11:53:06.229622,15.557460010176472,12.033951660577934,15.557460010176472,12.033951660577934,0.45614035087719296,5.040529873315273,7.7136128210369055,0.09911881575833663,0.4686696918391786,,True,False,-3.8024640198698245,00cccab6-70a6-4022-bb8b-ed77293476bd,2026-08-25T11:53:06.286701
tft,tft-skipped,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.0,1000000000.0,1000000000.0,0.0,0.0,TFT is enabled only when CUDA is available or enable_cpu_tft is set.,False,False,0.0,00cccab6-70a6-4022-bb8b-ed77293476bd,2026-08-25T11:53:06.286701
